dept,base,txt_path,meta_path,xml_path,txt_size,core_all,core_lead,climate_all,climate_lead,procedural,meta_hits,raw,score,score_norm,pct,tier
doe,12_26_2024_2024-30369,E:\2026_capstone\policy_data\doe_data\raw_text\12_26_2024_2024-30369.txt,E:\2026_capstone\policy_data\doe_data\meta\12_26_2024_2024-30369.json,E:\2026_capstone\policy_data\doe_data\xml\12_26_2024_2024-30369.xml,786321,6,0,94,0,0,0,23.150099896623864,0.9995548704498309,0.10154689162195481,0.8129770992366412,Tier2_review
doi,01_12_2023_2023-00037,E:\2026_capstone\policy_data\doi_data\raw_text\01_12_2023_2023-00037.txt,E:\2026_capstone\policy_data\doi_data\meta\01_12_2023_2023-00037.json,E:\2026_capstone\policy_data\doi_data\xml\01_12_2023_2023-00037.xml,162846,26,0,38,0,0,0,23.136686161802263,0.9995528766023156,0.024189594317154586,0.4583333333333333,Tier3_drop
doi,11_05_2019_2019-24124,E:\2026_capstone\policy_data\doi_data\raw_text\11_05_2019_2019-24124.txt,E:\2026_capstone\policy_data\doi_data\meta\11_05_2019_2019-24124.json,E:\2026_capstone\policy_data\doi_data\xml\11_05_2019_2019-24124.xml,125596,22,0,47,0,0,0,23.132128392210937,0.999552197095322,0.024184429048794434,0.45588235294117646,Tier3_drop
doi,07_03_2023_2023-13672,E:\2026_capstone\policy_data\doi_data\raw_text\07_03_2023_2023-13672.txt,E:\2026_capstone\policy_data\doi_data\meta\07_03_2023_2023-13672.json,E:\2026_capstone\policy_data\doi_data\xml\07_03_2023_2023-13672.xml,74721,30,0,25,0,0,0,23.122882570202258,0.9995508154853321,0.024173950864031447,0.4534313725490196,Tier3_drop
doi,08_24_2021_2021-17832,E:\2026_capstone\policy_data\doi_data\raw_text\08_24_2021_2021-17832.txt,E:\2026_capstone\policy_data\doi_data\meta\08_24_2021_2021-17832.json,E:\2026_capstone\policy_data\doi_data\xml\08_24_2021_2021-17832.xml,132978,30,0,32,0,1,0,23.083228470377374,0.9995448414564232,0.024129011324401015,0.45098039215686275,Tier3_drop
usda,06_21_2004_04-13745,E:\2026_capstone\policy_data\usda_data\raw_text\06_21_2004_04-13745.txt,E:\2026_capstone\policy_data\usda_data\meta\06_21_2004_04-13745.json,E:\2026_capstone\policy_data\usda_data\xml\06_21_2004_04-13745.xml,230421,40,0,4,0,0,0,23.069315998340045,0.9995427267284036,0.038190313872423505,0.828996282527881,Tier2_review
doi,07_01_2022_2022-14025,E:\2026_capstone\policy_data\doi_data\raw_text\07_01_2022_2022-14025.txt,E:\2026_capstone\policy_data\doi_data\meta\07_01_2022_2022-14025.json,E:\2026_capstone\policy_data\doi_data\xml\07_01_2022_2022-14025.xml,189514,38,0,8,0,0,0,23.00922579642224,0.9995334794846673,0.024045144936974464,0.4485294117647059,Tier3_drop
doi,12_09_2013_2013-29088,E:\2026_capstone\policy_data\doi_data\raw_text\12_09_2013_2013-29088.txt,E:\2026_capstone\policy_data\doi_data\meta\12_09_2013_2013-29088.json,E:\2026_capstone\policy_data\doi_data\xml\12_09_2013_2013-29088.xml,165767,40,0,2,0,0,0,22.897333181117023,0.9995157594407832,0.02391833831062139,0.44607843137254904,Tier3_drop
epa,04_16_2019_2019-05529,E:\2026_capstone\policy_data\epa_data\raw_text\04_16_2019_2019-05529.txt,E:\2026_capstone\policy_data\epa_data\meta\04_16_2019_2019-05529.json,E:\2026_capstone\policy_data\epa_data\xml\04_16_2019_2019-05529.xml,564572,19,0,59,0,0,0,22.88259408033962,0.9995133756573629,0.03249166353742224,0.5563380281690141,Tier3_drop
doi,09_22_2016_2016-22276,E:\2026_capstone\policy_data\doi_data\raw_text\09_22_2016_2016-22276.txt,E:\2026_capstone\policy_data\doi_data\meta\09_22_2016_2016-22276.json,E:\2026_capstone\policy_data\doi_data\xml\09_22_2016_2016-22276.xml,316082,2,0,99,0,0,0,22.80801885639928,0.9995011334551402,0.023817119403801077,0.44362745098039214,Tier3_drop
usda,06_19_1997_97-13445,E:\2026_capstone\policy_data\usda_data\raw_text\06_19_1997_97-13445.txt,E:\2026_capstone\policy_data\usda_data\meta\06_19_1997_97-13445.json,,361420,34,0,19,0,0,0,22.701790721366034,0.9994831617244652,0.03756902158573028,0.8252788104089219,Tier2_review
doi,08_13_2013_2013-19386,E:\2026_capstone\policy_data\doi_data\raw_text\08_13_2013_2013-19386.txt,E:\2026_capstone\policy_data\doi_data\meta\08_13_2013_2013-19386.json,E:\2026_capstone\policy_data\doi_data\xml\08_13_2013_2013-19386.xml,117699,9,0,82,0,1,0,22.61914372423515,0.9994687330768227,0.023603069368002084,0.4411764705882353,Tier3_drop
doe,07_21_2015_2015-16897,E:\2026_capstone\policy_data\doe_data\raw_text\07_21_2015_2015-16897.txt,E:\2026_capstone\policy_data\doe_data\meta\07_21_2015_2015-16897.json,E:\2026_capstone\policy_data\doe_data\xml\07_21_2015_2015-16897.xml,398095,8,0,80,2,0,0,22.533785670212094,0.9994534083884132,0.09884345646469953,0.8091603053435115,Tier2_review
doi,01_25_2023_2023-01400,E:\2026_capstone\policy_data\doi_data\raw_text\01_25_2023_2023-01400.txt,E:\2026_capstone\policy_data\doi_data\meta\01_25_2023_2023-01400.json,E:\2026_capstone\policy_data\doi_data\xml\01_25_2023_2023-01400.xml,198933,14,0,66,0,0,0,22.52223104786021,0.99945130026651,0.023493239335801733,0.4387254901960784,Tier3_drop
