pdf_path,pdf_basename,policy_id,policy_level,policy_type,state_list,county_list,city_list,tribe_list,pages_seen,text_pages,toc_pages,figure_pages,form_pages,cover_pages,ocr_conf_mean,ocr_low_conf_ratio,headings_per_page_mean,final_chunks,median_chunk_tokens,p10_chunk_tokens,p90_chunk_tokens,small_chunk_ratio_lt220
/scratch/xt2284/pdf_data/data/Oklahoma/Federal/ef9b6a8603__cno-water-settlement-agreement.pdf,ef9b6a8603__cno-water-settlement-agreement.pdf,ef9b6a8603398b23f9ad24e62c6ab0bb8f3b3976,Federal,Water Rights / Water Resource Management,"[""Oklahoma""]",[],[],[],94,87,0,7,0,0,0.991321732487028,0.00877106175002114,1.3333333333333333,28,1042.5,865.3000000000001,1131.2,0.07142857142857142
/scratch/xt2284/pdf_data/data/Oklahoma/Federal/f21e659125__AL-FEMA-Prototype-2014-PA-Section-106.pdf,f21e659125__AL-FEMA-Prototype-2014-PA-Section-106.pdf,f21e659125e98cafb06b68b4bbb7462a3eb31933,Federal,Disaster Response / Hazard Mitigation / Climate Resilience,"[""Oklahoma""]",[],[],[],77,75,0,2,0,0,0.978674208148235,0.013426900365624477,0.9577464788732394,32,681.5,252.8,1105.4,0.0
/scratch/xt2284/pdf_data/data/Oklahoma/Federal/f4a4fa8c07__ira-caa-grant-application-guidance.pdf,f4a4fa8c07__ira-caa-grant-application-guidance.pdf,f4a4fa8c07a9f3b235c450c6c76bbe8e95aa537b,Federal,Air quality,"[""Oklahoma""]","[""Caddo""]","[""Anadarko City""]","[""Delaware Nations""]",12,12,0,0,0,0,0.9830311071442076,0.029223146955705093,1.9,7,342.0,178.60000000000002,562.2000000000002,0.14285714285714285
/scratch/xt2284/pdf_data/data/Oklahoma/State/16edb1ae11__oklahoma-cprg-priority-action-plan.pdf,16edb1ae11__oklahoma-cprg-priority-action-plan.pdf,16edb1ae1145fb6177726da7449a7a090b28f684,State,Climate Action Plan,"[""Oklahoma""]",[],[],[],266,254,0,12,0,0,0.984112997624269,0.020369290687832324,2.0205479452054793,98,483.5,269.2,1095.4,0.05102040816326531
/scratch/xt2284/pdf_data/data/Oklahoma/State/4a42d18c44__Oklahoma-Energy-Security-Plan.pdf,4a42d18c44__Oklahoma-Energy-Security-Plan.pdf,4a42d18c44ac53ed77db2025e3a7c69d2a0c09e1,State,nan,"[""Oklahoma""]",[],[],[],264,260,0,4,0,0,0.9873039700667903,0.005648232780391426,1.5069767441860464,120,529.0,263.7,1033.2,0.05
/scratch/xt2284/pdf_data/data/Oklahoma/State/4f65913ec8__SHMP 2024.pdf,4f65913ec8__SHMP 2024.pdf,4f65913ec84998c9e27733d9aaaa65229fd8c610,State,Hazard Mitigation Plan,"[""Oklahoma""]",[],[],[],352,344,0,8,0,0,0.9865058095930014,0.01183397555021836,1.854054054054054,121,567.0,293.0,1089.0,0.049586776859504134
/scratch/xt2284/pdf_data/data/Oklahoma/State/66e82b6ecc__Forest-Action-Plan-2020.pdf,66e82b6ecc__Forest-Action-Plan-2020.pdf,66e82b6ecc60cf856db58a94ed0efdadcb4663ae,State,nan,"[""Oklahoma""]",[],[],[],209,197,0,12,0,0,0.984630445277457,0.015182994142847258,1.1363636363636365,100,704.0,231.5,1117.2,0.1
/scratch/xt2284/pdf_data/data/Oklahoma/State/97238f3945__CDBG-DR-2022-Action-Plan-SA1.pdf,97238f3945__CDBG-DR-2022-Action-Plan-SA1.pdf,97238f39455d83e7a894112f5e9113cb02d0c6a2,State,nan,"[""Oklahoma""]",[],[],[],118,115,0,3,0,0,0.9846625370909939,0.01086306491260019,1.4375,51,690.0,358.0,1109.0,0.0
/scratch/xt2284/pdf_data/data/Oklahoma/State/d7945159b3__CDBG-DR-Action-Plan-93.7-Million.pdf,d7945159b3__CDBG-DR-Action-Plan-93.7-Million.pdf,d7945159b371cdc8badcb5c8b6803997f566fdcb,State,nan,"[""Oklahoma""]",[],[],[],320,304,0,12,3,1,0.9861324475570017,0.011488988947623608,1.4959016393442623,137,492.0,233.0,976.6,0.072992700729927
/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/0664da1088__20230531-Hazard-Mitigation-Plan.pdf,0664da1088__20230531-Hazard-Mitigation-Plan.pdf,0664da1088bb1cb26656b62063fea433efa36809,Tribe,Hazard Mitigation Plan,"[""Oklahoma""]",[],[],[],243,242,1,0,0,0,0.9867179118206658,0.012303116871895569,2.039772727272727,124,516.0,275.3,961.0,0.03225806451612903
/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/2e107e5a09__Creek_County_MHMP_Draft.pdf,2e107e5a09__Creek_County_MHMP_Draft.pdf,2e107e5a0925a48984fd0ece2f4bd2e2cce2dce8,Tribe,Hazard Mitigation Plan,"[""Oklahoma""]","[""Kay"", ""Creek""]","[""Kaw City""]","[""Kaw Nation""]",164,157,0,6,1,0,0.9796944633968719,0.037099920121795124,2.1574074074074074,65,483.0,223.20000000000002,961.6,0.1076923076923077
/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/575022b4bb__25-01-16_KTO_PCAP_Final.pdf,575022b4bb__25-01-16_KTO_PCAP_Final.pdf,575022b4bb831533322c49632f7c5a6759547dc8,Tribe,Climate Adaptation / GHG Reduction / Strategic Planning,"[""Oklahoma""]","[""Pottawatomie"", ""Lincoln"", ""Oklahoma""]","[""McLoud City""]","[""Kickapoo Tribe""]",70,64,0,6,0,0,0.9848574373033641,0.011215591465787756,1.7380952380952381,23,591.0,285.0,1150.2,0.043478260869565216
/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/5e985facdb__priority-climate-action-plan.pdf,5e985facdb__priority-climate-action-plan.pdf,5e985facdb5b7ea9b8e40309757f97a203b3e25c,Tribe,Climate / GHG Reduction / Strategic Planning,"[""Oklahoma""]",[],[],"[""Choctaw Nation""]",38,36,0,1,0,1,0.9263311374922828,0.16275151524911802,1.4444444444444444,13,428.0,211.20000000000002,1025.6000000000001,0.15384615384615385
/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/6622d84ba7__Climate-Adaptation-Plan-and-Vulnerability-Assessment-01-2026.pdf,6622d84ba7__Climate-Adaptation-Plan-and-Vulnerability-Assessment-01-2026.pdf,6622d84ba7bf4f8c2cbbbda2baa61c8c8f7958de,Tribe,Climate Adaptation,"[""Oklahoma""]",[],[],"[""Delaware Tribe of Indians""]",50,49,0,1,0,0,0.982079158936663,0.018941812235513306,1.1388888888888888,20,477.0,248.3,1088.8000000000002,0.1
/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/7a05fa80b1__kiowa-tribe-pcap-5d-02f41701-0.pdf,7a05fa80b1__kiowa-tribe-pcap-5d-02f41701-0.pdf,7a05fa80b1b2f87b94d677f2ce4e87844ec32edf,Tribe,Climate Adaptation,"[""Oklahoma""]",[],[],"[""Kiowa Tribe"", ""Delaware Nation"", ""Apache Tribe"", ""Caddo Nation"", ""Comanche Nation"", ""Cheyenne & Arapaho Tribes""]",56,54,0,1,0,1,0.9694487607917629,0.05449272781479605,1.7692307692307692,22,362.5,205.3,831.5000000000003,0.18181818181818182
/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/7f804ff08d__muscogee-creek-nation-pcap.pdf,7f804ff08d__muscogee-creek-nation-pcap.pdf,7f804ff08d929d34f9f8f92194bc1d0e94adbfac,Tribe,Climate Adaptation,"[""Oklahoma""]","[""Creek""]","[""Okmulgee City""]","[""Muscogee (Creek) Nation""]",136,109,0,26,0,1,0.9704407366142883,0.03679871778072757,1.9014084507042253,37,481.0,188.6,1098.1999999999998,0.16216216216216217
/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/Wichita Climate Action Plan (9-18 Public Draft).pdf,Wichita Climate Action Plan (9-18 Public Draft).pdf,58b3424948b49179c074df66c9c5d27d7c6c7c40,Tribe,Climate Adaptation & Mitigation,"[""Oklahoma""]","[""Caddo""]","[""Anadarko City""]","[""Wichita and Affiliated Tribes (Wichita"", ""Keechi"", ""Waco & Tawakonie)""]",32,31,0,1,0,0,0.9862694500806519,0.010988103537479393,1.5714285714285714,18,330.5,240.70000000000002,590.8,0.05555555555555555
/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/aOsage Master Plan story UPDATEDpdf.pdf,aOsage Master Plan story UPDATEDpdf.pdf,0a08d4a294c5d1818f4f6691a0dc76a912b6e19f,Tribe,Climate Adaptation,"[""Oklahoma""]","[""Osage""]","[""Pawhuska City""]","[""Osage Nation""]",8,7,0,1,0,0,0.9922521097498144,0.0,1.2857142857142858,5,334.0,201.4,459.6,0.2
